phi,pc,log pc,w,sigma,regime
0.12,287158528.10432,8.45812171859263,0.030025885528963,0.16329546435176,Hygroscopic
0.33,1.50E+08,8.17653128082121,5.05822728180839,0.369637898703855,Hygroscopic
0.54,8.35E+07,7.92144379908764,9.89966805319292,0.37228630693443,Hygroscopic
0.66,5.63E+07,7.75031904444179,14.9277511588004,0.486432897907892,Hygroscopic
0.75,3.90E+07,7.59064467278389,24.9857600196433,0.213265467362801,Hygroscopic
0.795,3.11E+07,7.49235020931127,26.8771897036645,0.465758516609169,Hygroscopic
0.86,2.04E+07,7.31019913159903,33.4627166594226,0.522573884875026,Hygroscopic
0.94,8.38E+06,6.9232499196665,49.5000642447784,4.44304894756529,Hygroscopic
0.99,1.36E+06,6.13391244895636,136.866519401791,11.7248770144129,Hygroscopic
0.995560823800975,6.03E+05,5.78,178.51,13.2,PM
0.997823317748178,2.95E+05,5.47,191.07,6.21,PM
0.999759444171149,3.26E+04,4.51,274.21,6.80,PM
0.999907050310921,1.26E+04,4.10,276.05,6.50,PM
0.999989986744139,1.36E+03,3.13,278.00,2.78,Mercury intrusion
0.999967099476211,4.46E+03,3.65,275.52,2.76,Mercury intrusion
0.999942782019357,7.75E+03,3.89,274.69,2.75,Mercury intrusion
0.999911312775099,1.20E+04,4.08,274.28,2.74,Mercury intrusion
0.999872692055588,1.72E+04,4.24,274.03,2.74,Mercury intrusion
0.999835502384832,2.23E+04,4.35,273.78,2.74,Mercury intrusion
0.999794022352599,2.79E+04,4.45,273.54,2.74,Mercury intrusion
0.999762555272615,3.22E+04,4.51,273.37,2.73,Mercury intrusion
0.999729658360345,3.66E+04,4.56,273.20,2.73,Mercury intrusion
0.99969390141459,4.15E+04,4.62,273.04,2.73,Mercury intrusion
0.999508052098158,6.66E+04,4.82,272.79,2.73,Mercury intrusion
0.999365188530346,8.60E+04,4.93,271.80,2.72,Mercury intrusion
0.999222443903994,1.05E+05,5.02,270.06,2.70,Mercury intrusion
0.999079903358777,1.25E+05,5.10,267.00,2.67,Mercury intrusion
0.998937627681868,1.44E+05,5.16,262.21,2.62,Mercury intrusion
0.99879578712261,1.63E+05,5.21,254.52,2.55,Mercury intrusion
0.998654077511679,1.82E+05,5.26,246.00,2.46,Mercury intrusion
0.998512608289406,2.02E+05,5.30,235.91,2.36,Mercury intrusion
0.998370734833173,2.21E+05,5.34,228.64,2.29,Mercury intrusion
0.998228518030216,2.40E+05,5.38,223.76,2.24,Mercury intrusion
