phi,pc,log pc,w,sigma,regime
0.12,287158528.10432,8.45812171859263,0.28,0.18,Hygroscopic
0.33,1.50E+08,8.17653128082121,0.49,0.19,Hygroscopic
0.54,8.35E+07,7.92144379908764,0.79,0.22,Hygroscopic
0.66,5.63E+07,7.75031904444179,0.98,0.23,Hygroscopic
0.75,3.90E+07,7.59064467278389,1.18,0.22,Hygroscopic
0.795,3.11E+07,7.49235020931127,1.19,0.31,Hygroscopic
0.86,2.04E+07,7.31019913159903,1.25,0.25,Hygroscopic
0.94,8.38E+06,6.9232499196665,1.91,0.89,Hygroscopic
0.97,4.13E+06,6.61545047335617,3.74,2.71,Hygroscopic
0.998,2.71E+05,5.4331965265698,21.85,10.29,Hygroscopic
0.997383628752694,3.55E+05,5.55,15.93,6.54,pm
0.998014651939143,2.69E+05,5.43,23.89,8.40,pm
0.999070891796876,1.26E+05,5.10,39.74,9.32,pm
0.999413671809755,7.94E+04,4.90,63.30,9.38,pm
0.999670241112058,4.47E+04,4.65,109.64,9.24,pm
0.999761099948005,3.24E+04,4.51,133.27,9.65,pm
0.999992616427857,1.00E+03,3.00,164.40,3.11,pm
0.999988824532518,1.51E+03,3.18,164.40,1.64,Mercury Intrusion
0.999980126982704,2.69E+03,3.43,162.76,1.63,Mercury Intrusion
0.999969921124625,4.07E+03,3.61,161.11,1.61,Mercury Intrusion
0.999946511981324,7.24E+03,3.86,159.80,1.60,Mercury Intrusion
0.999907050310921,1.26E+04,4.10,157.82,1.58,Mercury Intrusion
0.999895709324962,1.41E+04,4.15,157.66,1.58,Mercury Intrusion
0.999882984682556,1.58E+04,4.20,157.00,1.57,Mercury Intrusion
0.99987461635303,1.70E+04,4.23,156.67,1.57,Mercury Intrusion
0.999862520396512,1.86E+04,4.27,156.34,1.56,Mercury Intrusion
0.999852688675036,2.00E+04,4.30,155.85,1.56,Mercury Intrusion
0.999842153902965,2.14E+04,4.33,155.52,1.56,Mercury Intrusion
0.999830865814504,2.29E+04,4.36,154.86,1.55,Mercury Intrusion
0.999814549566539,2.51E+04,4.40,153.55,1.54,Mercury Intrusion
0.999791923545669,2.82E+04,4.45,152.07,1.52,Mercury Intrusion
0.999777043721298,3.02E+04,4.48,147.47,1.47,Mercury Intrusion
0.999777043721298,3.02E+04,4.48,145.99,1.46,Mercury Intrusion
0.999761099948005,3.24E+04,4.51,147.47,1.47,Mercury Intrusion
0.9997127859039,3.89E+04,4.59,144.01,1.44,Mercury Intrusion
0.999677746131175,4.37E+04,4.64,121.16,1.21,Mercury Intrusion
0.999638432321606,4.90E+04,4.69,113.93,1.14,Mercury Intrusion
0.999565315936388,5.89E+04,4.77,94.86,0.95,Mercury Intrusion
0.999477417786699,7.08E+04,4.85,70.53,0.71,Mercury Intrusion
0.999371751200039,8.51E+04,4.93,65.27,0.65,Mercury Intrusion
0.999209145959967,1.07E+05,5.03,51.13,0.51,Mercury Intrusion
0.999004475710196,1.35E+05,5.13,41.59,0.42,Mercury Intrusion
0.998803237086206,1.62E+05,5.21,35.35,0.35,Mercury Intrusion
0.99842265975041,2.14E+05,5.33,33.04,0.33,Mercury Intrusion
0.997772672811131,3.02E+05,5.48,26.96,0.27,Mercury Intrusion
0.996472224410624,4.79E+05,5.68,23.18,0.23,Mercury Intrusion
